index,title,content,source
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Memory loss that disrupts daily life may be a symptom of Alzheimer's or other dementia. Alzheimer's is a brain disease that causes a slow decline in memory, thinking and reasoning skills. There are 10 warning signs and symptoms. If you notice any of them, don't ignore them. Schedule an appointment with your doctor.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Memory loss that disrupts daily life One of the most common signs of Alzheimer’s disease, especially in the early stage, is forgetting recently learned information. Others include forgetting important dates or events, asking the same questions over and over, and increasingly needing to rely on memory aids (e.g., reminder notes or electronic devices) or family members for things they used to handle on their own.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"What's a typical age-related change? Sometimes forgetting names or appointments, but remembering them later.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,Challenges in planning or solving problems Some people living with changes in their memory due to Alzheimer's or other dementia may experience changes in their ability to develop and follow a plan or work with numbers. They may have trouble following a familiar recipe or keeping track of monthly bills. They may have difficulty concentrating and take much longer to do things than they did before.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Making occasional errors when managing finances or household bills.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Difficulty completing familiar tasks People living with memory changes from Alzheimer's or other dementia often find it hard to complete daily tasks. Sometimes they may have trouble driving to a familiar location, organizing a grocery list or remembering the rules of a favorite game.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Occasionally needing help to use microwave settings or to record a TV show.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Confusion with time or place People living with Alzheimer's or other dementia can lose track of dates, seasons and the passage of time. They may have trouble understanding something if it is not happening immediately. Sometimes they may forget where they are or how they got there.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Getting confused about the day of the week but figuring it out later.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Trouble understanding visual images and spatial relationships Some people living with Alzheimer's or other dementia could experience vision changes. This may lead to difficulty with balance or trouble reading. They may also have problems judging distance and determining color or contrast, causing issues with driving.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Vision changes related to cataracts.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"New problems with words in speaking or writing People living with Alzheimer's or other dementia may have trouble following or joining a conversation. They may stop in the middle of a conversation and have no idea how to continue or they may repeat themselves. They may struggle with vocabulary, have trouble naming a familiar object or use the wrong name (e.g., calling a ""watch"" a ""hand-clock"").",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Sometimes having trouble finding the right word.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Misplacing things and losing the ability to retrace steps A person living with Alzheimer's or other dementia may put things in unusual places. They may lose things and be unable to go back over their steps to find them again. He or she may accuse others of stealing, especially as the disease progresses.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Misplacing things from time to time and retracing steps to find them.,https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Decreased or poor judgment Individuals living with Alzheimer's or other dementia may experience changes in judgment or decision-making. For example, they may use poor judgment when dealing with money or pay less attention to grooming or keeping themselves clean.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"What's a typical age-related change? Making a bad decision or mistake once in a while, like neglecting to change the oil in the car.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,"Withdrawal from work or social activities A person living with Alzheimer’s or other dementia may experience changes in the ability to hold or follow a conversation. As a result, they may withdraw from hobbies, social activities or other engagements. They may have trouble keeping up with a favorite team or activity.",https://www.alz.org/
0,10 Early Signs and Symptoms of Alzheimer's and Dementia,What's a typical age-related change? Sometimes feeling uninterested in family or social obligations.,https://www.alz.org/
