index,title,content,url
0,Alzheimer's disease,Alzheimer’s disease is a physical illness which damages a person’s brain. This eventually causes dementia. Alzheimer’s disease is the most common cause of dementia.,https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"Symptoms of Alzheimer's disease Alzheimer’s disease affects everyone differently. However, it has some common early symptoms: memory problems thinking and reasoning difficulties language problems changes to how they see and hear things changes in mood",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"The symptoms of Alzheimer’s disease will get worse over time. As Alzheimer's disease progresses, a person will need increasing support with everyday living.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"What causes Alzheimer's disease? The causes of Alzheimer’s disease are very complex, but one key part is the build-up of two substances inside the brain called amyloid and tau. When conditions in the brain aren’t right, these clump up and form tiny structures called plaques and tangles. These make it harder for the brain to work properly.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,Over time the disease causes certain parts to become smaller. It also reduces the amount of important chemicals needed to send messages around the brain.,https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"Eventually the brain struggles to cope with the damage and the person begins to have problems with memory and thinking. When it gets to the stage where these problems are making it difficult for the person to do everyday tasks that they used to do easily, this is called ‘dementia’.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"Alzheimer’s disease or dementia? The term 'Alzheimer's disease' – or Alzheimer’s – can be used to describe the physical disease that damages the brain, as well as the type of dementia that the disease causes.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"Alzheimer’s disease or dementia? The term 'Alzheimer's disease' – or Alzheimer’s – can be used to describe the physical disease that damages the brain, as well as the type of dementia that the disease causes.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"What is the difference between dementia and Alzheimer’s disease? An older woman and man sitting at a table outside having a cup of teaAdvice Dementia is a condition where problems with memory or other types of thinking make it hard for a person to do everyday activities by themselves. It can be caused by several different diseases that affect the brain. Alzheimer’s disease is the most common cause of dementia. Dementia is a condition where problems with memory or other types of thinking make it hard for a person to do everyday activities by themselves. It can be caused by several different diseases that affect the brain. Alzheimer’s disease is the most common cause of dementia. ... 21 February 2023 Getting a diagnosis of Alzheimer's disease It is very important for anyone who has worsening problems with their memory or thinking to be assessed by a health professional, which is most often their GP. If a GP thinks their symptoms may be caused by dementia, they will refer the person to a local memory service for more detailed assessment.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,Alzheimer’s will usually be diagnosed by a specialist health professional. Getting an early diagnosis has many benefits.,https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"Other types of Alzheimer’s disease There are some less common types of Alzheimer’s disease that do not cause memory problems at first. These are known as ‘atypical’ Alzheimer’s. There are four main types, which have different early symptoms:",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
0,Alzheimer's disease,"one mostly affecting language, called logopenic aphasia one causing problems with vision and working out where things are in relation to each other, called posterior cortical atrophy one that affects behaviour and/or thinking, called frontal variant Alzheimer’s disease one that causes problems with movement and sensation as well as thinking, perception and language, called corticobasal syndrome. Risk factors for Alzheimer's disease There are many different things that can increase a person’s chances of getting Alzheimer’s. These are known as ‘risk factors’. Some of these risk factors cannot be changed, but many others can. Age is the biggest risk factor for Alzheimer’s, as it is for most types of dementia.",https://www.alzheimers.org.uk/about-dementia/types-dementia/alzheimers-disease
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"Dementia with Lewy bodies (DLB) is a type of dementia caused by Lewy bodies, which are clumps of protein in the cells of the brain. Read more about what DLB is, and who gets the condition.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,What is dementia with Lewy bodies? Dementia is caused by different diseases that affect the brain. Lewy body dementia is caused by Lewy body disease.,https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"In this disease, tiny clumps of proteins known as Lewy bodies appear in the nerve cells of the brain. Lewy bodies are named after FH Lewy, the German doctor who first identified them.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"Lewy bodies cause a range of symptoms, some of which are shared by Alzheimer’s disease and some by Parkinson’s disease. For this reason, DLB is often wrongly diagnosed. About 1 in 10 people with dementia has DLB.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,What causes dementia with Lewy bodies? It is not yet known why Lewy bodies develop in the brain or exactly how they cause dementia. But we do know that Lewy body disease:,https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"can cause different symptoms depending on what parts of the brain have the biggest build-up of faulty proteins reduces the levels of important chemicals needed to send messages around the brain breaks the connections between nerve cells, eventually causing these cells to stop working usually develops over a period of many years – typically when a person is approaching old age. Lewy bodies can be developing in the brain for a long time before any symptoms show. Having Lewy body disease doesn’t mean that a person’s dementia is only caused by the build-up of Lewy bodies in their brain.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"Many people with DLB also have a build-up of other proteins that cause Alzheimer’s disease. This is common in people over about 80 years old. For people with both DLB and Alzheimer’s, dementia symptoms are often more severe and progress more quickly.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,Parkinson's disease Parkinson’s disease is also caused by a build-up of Lewy bodies in the brain. DLB has a lot of symptoms in common with Parkinson’s disease. Both cause problems with:,https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"thinking movement mood how well the body works. In DLB, the symptoms of dementia begin before or around the same time as the person develops problems with movement.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
1,Dementia with Lewy bodies (DLB): what is it and what causes it?,"For people with Parkinson’s disease, symptoms of dementia often develop many years after the movement problems begin.",https://www.alzheimers.org.uk/about-dementia/types-dementia/dementia-with-lewy-bodies
